(23, 46, 17)
(57, 90, 53)
(126, 184, 219)
(102, 145, 80)
(82, 191, 245)
(137, 221, 151)
(64, 76, 60)
(160, 76, 97)
(91, 171, 143)
(110, 126, 127)
(165, 90, 185)
(65, 128, 153)
(153, 72, 47)
(141, 53, 197)
(48, 22, 37)
(223, 45, 74)
(207, 166, 53)
(206, 49, 206)
(79, 219, 70)
(211, 53, 157)
(54, 144, 207)
(61, 34, 221)
(169, 149, 78)
(197, 230, 244)
(188, 65, 95)
(42, 105, 36)
(185, 140, 168)
(43, 51, 80)
(21, 48, 30)
(194, 170, 134)
(215, 110, 34)
(51, 161, 79)
(33, 77, 33)
(180, 58, 48)
(146, 143, 202)
(170, 111, 77)
(32, 68, 129)
(235, 155, 28)
(223, 48, 121)
(194, 214, 203)
(54, 74, 170)
(151, 191, 49)
(130, 93, 158)
(59, 129, 224)
(59, 220, 218)
(224, 218, 33)
(223, 45, 28)
(73, 55, 185)
(185, 192, 55)
(187, 99, 156)
